Ensembl_ID,gene_name,SJALL014946_D1,SJALL014947_D1,SJALL014949_D1,SJALL014950_D1,SJALL014952_D1
ENSG00000121964.15,GTDC1,8.163089944,8.813851002,8.526327918,12.81509647,8.61657679
ENSG00000169554.23,ZEB2,1062.208765,669.7488345,833.4189089,498.4977702,628.6784075
ENSG00000238057.10,ZEB2-AS1,213.1359565,55.06160345,112.5862801,59.98186431,144.5279857
ENSG00000232606.3,LINC01412,0,0.318740643,0.13160125,0,0.528406541
ENSG00000226674.11,TEX41,3.408714788,0.384392532,3.593138309,0.910393374,0.401463652
ENSG00000268580.1,LINC01966,0,0,0,0,0
ENSG00000214064.3,RPL6P5,0,0,9.160529112,0,4.597680011
ENSG00000251905.1,RNU7-2P,0,0,0,0,0
ENSG00000230559.1,RPL17P12,0,0,0,0,14.48488141
ENSG00000198526.7,PABPC1P2,0,0,0,0,0
ENSG00000231040.3,LINC01911,0,0.083536114,0.103470868,0.028103199,0.103864294
ENSG00000207225.1,RNU6-692P,0,0,0,0,0
ENSG00000202074.1,RNU6-715P,0,0,0,0,0
ENSG00000253083.1,RNA5SP106,0,0,76.5228038,0,0
ENSG00000121989.15,ACVR2A,2.552908539,2.976291394,71.62425914,0.786722527,0.616760004
ENSG00000212389.1,RNU6-1275P,0,0,929.1023442,0,0
ENSG00000115947.14,ORC4,46.08575816,85.3981101,43.19132027,59.42190473,30.51563418
ENSG00000204406.14,MBD5,7.894294373,8.509120667,21.2627118,17.37495756,18.34595394
ENSG00000232238.1,RPS29P8,0,0,0,0,22.36636099
ENSG00000135999.12,EPC2,87.39301313,255.7518364,136.5583114,106.7413157,94.49318327
ENSG00000222126.1,RNU2-9P,0,0,0,0,0
ENSG00000223962.1,UBBP3,0,0,0,0,0
ENSG00000168280.18,KIF5C,0.447407875,0.908155894,1.049883253,0.325889687,1.681181874
ENSG00000150556.17,LYPD6B,0.287022425,0.051786921,0.299344094,0,0.085852081
ENSG00000228236.2,TXNP5,0,0,48.25323297,0,24.21835267
ENSG00000224337.1,FAM8A3P,0,0,0,0,4.510416808
ENSG00000187123.15,LYPD6,0.352732566,0.127285758,0.367875126,0.042821443,0.158260239
ENSG00000168288.13,MMADHC,1183.759234,666.5422589,303.5982447,347.0754808,207.5000582
ENSG00000207270.1,RNU6-601P,0,0,0,0,0
ENSG00000162947.5,LINC01931,0.149275187,0,0,0,0.066975179
ENSG00000230645.2,LINC01818,0,0,0,0,0
ENSG00000231420.1,LINC01817,0,0,0,0,0.171932235
ENSG00000115963.14,RND3,0,0.1295514,0.2139561,0.0871673,0.161077216
ENSG00000236049.1,LINC01920,0.860843747,0,0,0.627034335,0.579351115
ENSG00000224048.6,LINC02612,0,0,0,0,0.162234133
ENSG00000213201.3,FABP5P10,0,0,0,0,9.342214665
ENSG00000184898.7,RBM43,131.4737107,52.71456971,68.55889209,65.17326779,78.10475267
ENSG00000123609.11,NMI,322.8576215,146.8910116,187.2098248,190.3588789,127.6301201
ENSG00000123610.5,TNFAIP6,3.019355579,1.225747563,3.37390112,0.549820923,2.370710749
ENSG00000283569.1,MIR4773-2,0,0,0,0,0
ENSG00000264684.1,MIR4773-1,0,0,0,0,0
ENSG00000242113.3,RN7SL124P,0,32.30391523,0,0,0
ENSG00000080345.18,RIF1,367.8966159,534.95784,294.4455253,359.9407689,252.2067607
ENSG00000183091.21,NEB,1.972801328,3.9031634,21.34521562,2.849181995,5.67707402
ENSG00000162980.17,ARL5A,184.4724004,315.1144397,180.6308504,237.6452589,163.1281492
ENSG00000182389.20,CACNB4,2.035964809,0.929842873,0.654072975,1.367128376,4.824288288
ENSG00000115145.10,STAM2,79.62611944,70.01866231,65.78453714,48.89108323,50.29984512
ENSG00000234272.1,RPL30P2,0,0,0,0,13.11131506
ENSG00000157827.20,FMNL2,3.770644007,9.796755804,17.02217245,16.94994258,25.11072768
ENSG00000196504.21,PRPF40A,1027.376024,1187.899284,574.2925879,514.0392856,418.990008
ENSG00000177917.12,ARL6IP6,95.82640044,70.32087847,37.92195796,69.5235896,35.77198275
ENSG00000226213.1,UBQLN4P2,0,9.687763386,0,0,0
ENSG00000214025.2,ATP5PBP4,0,0,0,0,0
